Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,MA7,MA30,Volatility,Outlier_Flag
2023-05-22,135.16679962400963,136.72435574214992,134.06577587538274,135.98138427734375,3717000,TGT,,,,,0
2023-05-23,134.5670991366631,135.46224380171736,131.53255926848215,131.7294921875,4374100,TGT,-0.031268192425308095,,,,0
2023-05-24,130.5120717616273,130.59263148908423,127.22689306227984,128.09518432617188,6738300,TGT,-0.027589173851480076,,,,0
2023-05-25,127.27164252695908,127.28954924200208,124.11178343353684,125.99159240722656,7409500,TGT,-0.016422099940844648,,,,0
2023-05-26,125.59770750186112,125.74988040949822,122.82276808094196,124.3624038696289,8100400,TGT,-0.012930930599970858,,,,0
2023-05-30,123.7268822606644,124.32662747721662,119.57341204577196,119.80614471435548,10931900,TGT,-0.036636949861871604,,,,0
2023-05-31,120.16420321128648,121.07724077160148,116.9327310034189,117.20126342773438,20234400,TGT,-0.021742468158304606,126.16678074428013,,,0
2023-06-01,115.1155901243276,118.18592925539151,113.45956730759164,117.40715789794922,13678400,TGT,0.0017567598180525668,123.51331983293805,,,0
2023-06-02,117.4787697432962,119.30485852345822,116.87006437736144,119.25115203857422,7594000,TGT,0.015705977162208562,121.73069981166294,,,0
2023-06-05,117.86366597195511,118.61558401831049,116.11813705762302,116.90586853027344,7702900,TGT,-0.019666757664044687,120.1322261265346,,,0
2023-06-06,116.4583074925796,119.01842136562796,116.30612090444674,118.78567504882812,6065200,TGT,0.016079659149599523,119.10280936104911,,,0
2023-06-07,118.1859268420314,118.43656620847688,117.27287563065376,117.93528747558594,5504400,TGT,-0.007159007791912808,118.18464987618583,,,0
2023-06-08,117.71150227521824,118.8483396197606,116.56571840281153,117.50562286376952,6162000,TGT,-0.0036432235085310793,117.8560038975307,,,0
2023-06-09,115.92120719985596,116.90587156624004,113.63858610238042,113.67439270019533,9404100,TGT,-0.032604653889762636,117.35216522216797,,,0
2023-06-12,113.95189079272104,114.03245051480437,111.96466902841036,113.2178726196289,8248400,TGT,-0.004016032720495333,116.75369589669364,,,0
2023-06-13,114.13092220483335,115.83169126827896,113.45061048180884,115.2229995727539,6916300,TGT,0.01771033942548539,116.1782455444336,,,0
2023-06-14,115.65266257436627,120.42378422953678,114.5158321045484,119.26009368896484,14968700,TGT,0.03503722460950032,116.51456342424665,,,0
2023-06-15,120.9429780073142,123.60155835439826,120.4864592141422,123.38671875,10063100,TGT,0.03460189350343423,117.17185538155692,,,0
2023-06-16,123.58362994240836,123.58362994240836,119.62709345308072,119.77926635742188,9903000,TGT,-0.029236958638047317,117.43528093610492,,,0
2023-06-20,119.16162592822074,119.31379884708625,117.63988308074524,118.80357360839844,5355200,TGT,-0.008145756596237286,117.6207024710519,,,0
2023-06-21,118.4813272179874,119.93145694514024,117.55932947062222,119.25115203857422,3845500,TGT,0.0037673818773422685,118.4173823765346,,,0
2023-06-22,119.44808315899564,119.73452229375545,117.6488339890161,118.5081787109375,4620600,TGT,-0.006230324109543051,119.17314038957868,,,0
2023-06-23,117.2728719519336,118.52608240367016,116.65523374180974,118.00689697265624,6975500,TGT,-0.004229933695158561,119.57084001813617,,,0
2023-06-26,118.4723718022083,121.2562715500216,118.46341161618572,120.3969268798828,4831100,TGT,0.02025330695527372,119.73324475969586,,,0
2023-06-27,119.23324484788496,120.701281283744,118.52608670170076,118.61559295654295,6047600,TGT,-0.014795509897997938,119.05165536063058,,,0
2023-06-28,118.78568289548616,119.39438831176275,118.05167144333112,118.57980346679688,4601900,TGT,-0.000301726685792425,118.88030351911273,,,0
2023-06-29,118.5887592871697,120.00308947179305,117.95321423525584,118.9736785888672,6055200,TGT,0.003321603768559278,118.90460423060826,,,0
2023-06-30,119.77929424787236,119.81510768006773,117.3803133260322,118.06956481933594,7316200,TGT,-0.00759927557300788,118.73580605643136,,,0
2023-07-03,117.7920734961298,121.130972656175,117.7920734961298,120.71920013427734,4134600,TGT,0.02244130669064237,119.05166625976562,,,0
2023-07-05,120.16420944043112,120.38799557817556,118.59770647622004,118.6514129638672,5186900,TGT,-0.017128900523778468,119.14373997279576,120.1358517964681,,0
2023-07-06,118.05167028216958,119.02737458551546,116.75369972839474,117.12071228027344,4882300,TGT,-0.012900821367040183,118.6757093157087,119.5071627298991,0.01923941247767798,0
