Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,MA7,MA30,Volatility,Outlier_Flag
2023-05-22,477.48851447821374,477.48851447821374,469.36064978528896,472.5599060058594,1943800,COST,,,,,0
2023-05-23,468.04443979295826,468.04443979295826,464.00931384846064,465.834716796875,1800200,COST,-0.014231400344194678,,,,0
2023-05-24,468.1212759212293,468.1212759212293,462.0301785892041,463.80755615234375,1600600,COST,-0.004351673611769913,,,,0
2023-05-25,461.3576634482353,469.360656491777,458.0335060969299,467.4487609863281,3421900,COST,0.007850680278240985,,,,0
2023-05-26,466.58409496611296,490.6987120332121,465.1141616711284,487.3457336425781,5302600,COST,0.042565034538260216,,,,0
2023-05-30,489.7764247010276,494.58010295220504,481.89833255730787,488.08551025390625,2544800,COST,0.0015179708372510259,,,,0
2023-05-31,488.8828845274571,493.6962086170636,485.12641122566527,491.4768981933594,3320800,COST,0.006948347918972031,476.6512974330357,,,0
2023-06-01,489.33446003831466,493.57133361272986,482.3883176904571,492.47607421875,2407700,COST,0.0020330071038201503,479.49646432059154,,,0
2023-06-02,490.2856809637682,498.1445405455287,489.4017857540199,492.4665832519531,2284800,COST,-1.9271934808107183e-05,483.301016671317,,,0
2023-06-05,492.4665558120902,498.5480078368538,491.9189260708958,497.9043273925781,2023500,COST,0.011041854057827427,488.17198399135043,,,0
2023-06-06,497.9042366325846,498.2693230601648,492.62977566439,495.9923706054687,1410300,COST,-0.0038400083749461356,492.2496425083705,,,0
2023-06-07,494.3112046405958,498.9035193181476,490.5258801257519,491.1599731445313,1784700,COST,-0.009742886679967255,492.7945338657924,,,0
2023-06-08,492.3800346021167,499.8641900180255,492.3800346021167,499.6720886230469,1530400,COST,0.01733063755993558,494.4497593470982,,,0
2023-06-09,497.84669168114016,501.5647569792676,495.2622944334921,496.9724426269531,1287300,COST,-0.005402835294509245,495.2348371233259,,,0
2023-06-12,496.9724369226114,500.80578647753254,495.7426595429106,500.51751708984375,1404500,COST,0.007133342130906994,496.3836146763393,,,0
2023-06-13,501.5262451171875,502.4197275837984,497.57755339184047,501.5262451171875,1204700,COST,0.002015370077772305,497.67785208565846,,,0
2023-06-14,504.3892866632051,507.1273764780595,502.6023215495315,506.5029296875,1841400,COST,0.009923079038764326,498.9062238420759,,,0
2023-06-15,508.23216392918874,510.4034487187628,505.9840034142411,508.4050903320313,1871600,COST,0.0037554780694060153,500.6794695172991,,,0
2023-06-16,509.2889588279468,509.5964030921887,502.11224919376,503.09222412109375,3147800,COST,-0.010450064942244763,502.3840767996652,,,0
2023-06-20,501.4589396811837,502.37165565566505,497.79851762689225,499.2972717285156,1684400,COST,-0.007543253921699855,502.33053152901783,,,0
2023-06-21,497.5776004401956,501.161206080742,496.2613892869596,499.2204895019531,1273600,COST,-0.0001537805850544416,502.6516810825893,,,0
2023-06-22,500.2485456610176,504.0818952597981,499.2781872635291,503.6207580566406,1114000,COST,0.008814278755019389,503.0950012207031,,,0
2023-06-23,502.5927796719911,504.7736819629545,498.9515899602957,503.8513488769531,1434300,COST,0.000457865996632556,503.42715890066967,,,0
2023-06-26,503.8129045070112,504.264424899748,500.7961618934092,502.871337890625,1278500,COST,-0.0019450399180482858,502.90836007254467,,,0
2023-06-27,502.1315829047739,511.5083709582977,501.60312815333486,509.5100708007813,1673600,COST,0.013201653007315128,503.0662144252232,,,0
2023-06-28,508.2129564966921,512.5459095033184,507.857486877164,511.8829956054687,1245200,COST,0.004657267717903757,504.32203892299106,,,0
2023-06-29,509.7502109453066,511.546792751537,508.1841977030196,510.8166198730469,1121800,COST,-0.0020832411734257317,505.9676600864955,,,0
2023-06-30,513.1992151319404,518.3776253302406,512.6804358880908,517.2439575195312,2221900,COST,0.012582475582101793,508.54244123186385,,,0
2023-07-03,516.1583713684369,519.8380277358766,513.3626394019275,519.799560546875,951400,COST,0.004940807891887777,510.85369873046875,,,0
