Date,Open,High,Low,Close,Volume,Ticker
2023-05-22,477.48851447821374,477.48851447821374,469.36064978528896,472.5599060058594,1943800,COST
2023-05-23,468.04443979295826,468.04443979295826,464.00931384846064,465.834716796875,1800200,COST
2023-05-24,468.12130672264124,468.12130672264124,462.0302089898344,463.8075866699219,1600600,COST
2023-05-25,461.3576935681537,469.36068713417393,458.0335359998294,467.44879150390625,3421900,COST
2023-05-26,466.58409496611296,490.6987120332121,465.1141616711284,487.3457336425781,5302600,COST
2023-05-30,489.7763940777249,494.58007202855214,481.8983024265834,488.0854797363281,2544800,COST
2023-05-31,488.8828845274571,493.6962086170636,485.12641122566527,491.4768981933594,3320800,COST
2023-06-01,489.3344903612144,493.5713641981787,482.38834758292086,492.4761047363281,2407700,COST
2023-06-02,490.2855898164777,498.1444479372252,489.40169477105127,492.46649169921875,2284800,COST
2023-06-05,492.46652562780423,498.5479772798232,491.9188959201752,497.904296875,2023500,COST
2023-06-06,497.9042979030086,498.2693843755151,492.6298362857566,495.992431640625,1410300,COST
2023-06-07,494.31108178709286,498.90339532329494,490.5257582130335,491.15985107421875,1784700,COST
2023-06-08,492.3800947465455,499.864251076647,492.3800947465455,499.6721496582031,1530400,COST
2023-06-09,497.84663053861385,501.56469538011095,495.26223360836593,496.9723815917969,1287300,COST
2023-06-12,496.9724975254661,500.80584754784155,495.7427199958011,500.517578125,1404500,COST
2023-06-13,501.52630615234375,502.4197887276904,497.5776139464456,501.52630615234375,1204700,COST
2023-06-14,504.3892562729772,507.1273459228575,502.602291266971,506.5028991699219,1841400,COST
2023-06-15,508.23219443638675,510.4034793562946,505.9840337864908,508.4051208496094,1871600,COST
2023-06-16,509.28902061489094,509.596464916432,502.1123101100256,503.09228515625,3147800,COST
2023-06-20,501.4590316302884,502.37174777212823,497.79860890481035,499.29736328125,1684400,COST
2023-06-21,497.577570023048,501.161175444527,496.26135895027267,499.220458984375,1273600,COST
2023-06-22,500.24851534778327,504.0818647142767,499.2781570090949,503.6207275390625,1114000,COST
2023-06-23,502.5926579065977,504.7735596691843,498.9514690770696,503.8512268066406,1434300,COST
2023-06-26,503.8129350817299,504.26445550186793,500.79619228505186,502.8713684082031,1278500,COST
2023-06-27,502.13146260222686,511.508248409225,501.603007977397,509.50994873046875,1673600,COST
2023-06-28,508.2130170942456,512.5459706175183,507.8575474323325,511.883056640625,1245200,COST
2023-06-29,509.75027185304253,511.5468538739383,508.18425842363973,510.8166809082031,1121800,COST
2023-06-30,513.1992756898142,518.3776864991704,512.6804963847482,517.2440185546875,2221900,COST
2023-07-03,516.1583713684369,519.8380277358766,513.3626394019275,519.799560546875,951400,COST
2023-07-05,519.9725423048724,524.6129406669639,516.3986116879171,519.8861083984375,1630400,COST
2023-07-06,517.7243495556008,519.0885859753593,515.5146559813152,516.2736206054688,1750100,COST
2023-07-07,512.9302976238376,515.3994103353294,504.03382188021595,504.43731689453125,2740600,COST
2023-07-10,504.4469463379351,510.2978880677217,504.4469463379351,506.3204040527344,1955600,COST
2023-07-11,506.79107579818526,509.92310206592686,505.4940983962923,508.8470764160156,1262300,COST
2023-07-12,511.1144574814126,518.9060566602586,510.2593835073776,516.87890625,1960500,COST
2023-07-13,516.6867128964756,517.9548985804299,511.87338910299025,517.3112182617188,1647200,COST
2023-07-14,517.5611110145929,525.39111960747,516.9750140926823,525.2374267578125,1828700,COST
2023-07-17,524.7377320598922,532.4525136669108,524.6608563287895,531.2515869140625,1909900,COST
2023-07-18,530.9730091590832,533.2115533605828,527.8218074080842,531.85693359375,1778800,COST
2023-07-19,532.7119760434905,534.0666545181131,530.3485892699994,532.3565063476562,1261100,COST
2023-07-20,532.0683060154424,539.0432994512424,531.9722553105306,535.0946655273438,1732800,COST
2023-07-21,537.2177975101708,539.9847376665626,535.565350309579,535.959228515625,5264300,COST
2023-07-24,536.0937644523272,544.327326258464,534.0569971351342,541.7909545898438,2086400,COST
2023-07-25,544.5194527603043,545.2688006022962,542.1463908761526,543.00146484375,1602500,COST
2023-07-26,543.3089295816044,545.7300169017309,541.3009540656411,543.9429931640625,1306400,COST
2023-07-27,545.432098947366,548.7370518269986,538.5916246261036,539.7733764648438,1485300,COST
2023-07-28,542.4153774892345,545.5185533406765,540.5323032995642,541.204833984375,1371400,COST
2023-07-31,540.8974797238019,542.1368151836408,537.1025389641901,538.658935546875,1365900,COST
2023-08-01,538.6204836204915,540.7821518822526,532.7695423908298,533.6630249023438,1445300,COST
2023-08-02,530.5790324241035,534.7774674727673,529.3877225209128,530.6654663085938,1635000,COST
2023-08-03,531.7993004100997,538.351506204544,530.5406726811987,535.7959594726562,1463400,COST
2023-08-04,539.0431369725542,539.2544719152648,529.7623430261548,530.3676147460938,1142000,COST
2023-08-07,533.2020118301556,537.5926083133875,533.2020118301556,536.4877319335938,1015400,COST
2023-08-08,536.0937352589648,536.9584260295006,530.1755936601356,534.2875366210938,1020400,COST
2023-08-09,536.074483995296,540.0231758356484,534.9504329418542,537.7269897460938,1471800,COST
2023-08-10,541.0895441042935,546.8636090433208,538.6876907112871,539.4466552734375,1107200,COST
2023-08-11,538.3514898792483,542.8189614244513,537.0833626690448,540.8590698242188,1043100,COST
2023-08-14,542.5980454211527,545.4226280354433,538.4380179261746,539.4275512695312,1247600,COST
2023-08-15,539.0240638274488,542.9726977364971,536.2859737186081,536.5838012695312,1124300,COST
2023-08-16,539.6486502141806,542.7710608872815,536.7855999378482,537.1026611328125,1340100,COST
2023-08-17,537.506100322624,538.4188166137567,523.6810726079506,525.63134765625,1941900,COST
2023-08-18,525.4487583160571,527.8986375697041,521.7883353128641,523.5465087890625,1878100,COST
2023-08-21,522.5089072995925,523.7483014802195,515.2457032214786,521.8844604492188,2076100,COST
2023-08-22,520.6834626417015,520.6834626417015,516.398534621129,517.234375,1286000,COST
2023-08-23,517.8013350530235,519.9245365470122,515.1880873017087,519.626708984375,1295800,COST
2023-08-24,519.0972864204774,520.7432798597997,510.94445772498443,511.8011474609375,1587500,COST
2023-08-25,512.9562886375402,515.7284578413334,510.69430290693276,514.01513671875,1511500,COST
2023-08-28,515.9303321127971,516.9313698162254,513.1581644342973,516.1132202148438,945800,COST
2023-08-29,514.3326739594314,522.7357768011361,514.3326739594314,522.447021484375,1468500,COST
2023-08-30,522.4084281791905,524.0351515053491,519.1165004051779,521.9560546875,1292800,COST
2023-08-31,519.7807010330906,531.523906398985,519.7807010330906,528.7132568359375,2086500,COST
2023-09-01,532.361340764306,532.7559632352585,520.3967657937991,523.87158203125,1437700,COST
2023-09-05,525.2960528005473,528.6265201559935,523.6308484977236,524.33349609375,1714300,COST
2023-09-06,521.4362161948228,528.1356323476816,519.9538999446779,526.2201538085938,1476600,COST
2023-09-07,528.1068468003521,530.3591969616513,523.9100542245159,528.0779418945312,1340000,COST
2023-09-08,528.5111418162087,531.6972029118174,527.5774310420665,530.5517578125,1075300,COST
2023-09-11,532.1109886274486,538.4446284210943,531.1965479752823,537.8574829101562,1388600,COST
2023-09-12,538.3388286759208,539.4168876587661,535.35486716106,537.8671264648438,1055500,COST
2023-09-13,537.3954272308039,539.4553127966687,533.8532254048189,538.80078125,1162700,COST
2023-09-14,543.6617111030519,545.480957579249,539.2724543865512,543.6232299804688,1257300,COST
2023-09-15,544.1622410408078,544.3354942112802,534.7387725620761,535.528076171875,2945300,COST
2023-09-18,537.2799158794685,543.0648913061772,536.5964794418553,541.64990234375,1003100,COST
2023-09-19,540.6103809079004,544.1622176242505,538.4831093651127,543.2188720703125,1144700,COST
2023-09-20,543.2188122531319,547.9064583551636,541.5920891936112,542.7183227539062,1311500,COST
2023-09-21,542.9494583669423,543.4307367998646,533.5260478002548,534.2960815429688,1687700,COST
2023-09-22,534.3730001022916,541.8905662599129,534.0072825729956,537.6746215820312,1527300,COST
2023-09-25,538.540788691906,540.2541676587614,533.9686447913243,537.703369140625,1313300,COST
2023-09-26,538.2135993844108,540.3504470469123,531.3312955168368,532.25537109375,2425100,COST
2023-09-27,526.8843709407962,545.2884531320468,524.3335717995672,542.4296875,4591400,COST
2023-09-28,542.9494273743196,550.755749010765,542.9494273743196,547.3386840820312,2192400,COST
2023-09-29,548.657356256087,549.6102780538266,539.7055900881851,543.8060913085938,1887500,COST
2023-10-02,546.6454969263398,550.3321051817317,542.8819264422254,549.918212890625,1831700,COST
2023-10-03,549.7160866321187,554.6155258957431,541.9290361298541,543.8829956054688,2007400,COST
2023-10-04,548.1664498072938,551.1696222530481,542.6510182722687,550.3899536132812,1798800,COST
2023-10-05,550.7461138331877,553.2295268543104,543.2285474929107,548.1953735351562,1579700,COST
2023-10-06,544.8937803640817,545.7215650750642,522.3121776972522,536.654296875,4246700,COST
2023-10-09,534.2190219568026,538.7911667393158,529.1945036799259,538.0403442382812,1781500,COST
2023-10-10,538.9546669407198,545.7214679371556,536.3750223413753,541.04345703125,2176800,COST
2023-10-11,543.7001374739315,545.2883795550797,539.2242839948949,544.3450927734375,1449800,COST
2023-10-12,546.7803655749896,547.829578312121,541.3226850978463,542.6702880859375,1458000,COST
2023-10-13,542.7376284728615,546.1932332366397,540.9376519558748,545.61572265625,1243900,COST
2023-10-16,548.3589077862422,552.6037568208723,547.2327329402867,550.8134155273438,1428300,COST
2023-10-17,550.5246792958793,554.490408185113,549.340753359228,552.8348388671875,1404600,COST
2023-10-18,552.430585776185,555.6840324811951,550.5824931581869,553.1236572265625,1311900,COST
2023-10-19,552.2188908344658,554.2883528654443,542.9879445550214,544.4510498046875,2019600,COST
2023-10-20,545.3269473864912,545.4520844794397,531.3410266305101,532.2265625,2295400,COST
2023-10-23,533.3912389617263,536.067116314372,526.162427997691,531.6104736328125,1776500,COST
2023-10-24,531.4276446450986,535.1720051118059,528.7614019636322,531.1774291992188,1678600,COST
2023-10-25,528.0105831749719,533.0929118783974,525.1806634991581,529.3966674804688,1757500,COST
2023-10-26,529.069480262491,533.8918414982544,525.1037501096395,527.09619140625,1925300,COST
2023-10-27,527.0960986553556,527.5100497936932,520.0020594906864,522.697265625,1503100,COST
2023-10-30,525.3056724463635,535.5280196744187,523.284326920964,534.1034545898438,1696200,COST
2023-10-31,531.4853387076456,533.2853739797978,528.5014361170713,531.7548828125,1394700,COST
2023-11-01,534.2190086807385,537.5302063277787,529.0693534483319,535.9515991210938,1735300,COST
2023-11-02,536.6459462892353,539.5485690008502,532.3161438487042,536.1348266601562,2100600,COST
2023-11-03,537.4463357143369,542.9043798416811,535.421221415333,540.8889770507812,1826800,COST
2023-11-06,540.4935095419509,552.219712800605,540.1463673102611,549.4906616210938,2056900,COST
2023-11-07,552.0750146799766,553.415438011752,549.2399022066166,550.888916015625,1373100,COST
2023-11-08,551.7087008981514,552.5476575505805,544.1580321686603,547.1378173828125,1343600,COST
2023-11-09,548.6998691894862,548.6998691894862,541.9592598270305,543.17431640625,1288400,COST
2023-11-10,547.639180559457,557.2727601166947,544.784762637542,556.5302124023438,1908800,COST
2023-11-13,554.4859622196983,559.2593748833765,553.0298244495178,557.6007080078125,1650700,COST
2023-11-14,560.9854016222307,570.4454104108712,560.4743409024278,569.72216796875,2037600,COST
2023-11-15,572.798452655033,578.4879843147643,572.219882152321,575.4889526367188,2165100,COST
2023-11-16,565.4598192274818,565.6623482798082,551.8242756202653,557.9381103515625,2954700,COST
2023-11-17,558.2467698400662,559.2303395616111,553.5794192716509,556.5592041015625,1773600,COST
2023-11-20,556.742397760565,561.5447085964751,556.742397760565,560.0789184570312,1624100,COST
2023-11-21,561.236169708031,564.080935260722,557.0992438726391,563.4541015625,1173700,COST
2023-11-22,565.913178407072,570.0501635691244,565.4310166945814,568.0636596679688,1068600,COST
2023-11-24,569.9344310727665,573.0009724023215,569.3461490707148,570.2622680664062,645800,COST
2023-11-27,571.3808701542827,578.5361326804148,571.2747498577053,573.6759643554688,1627400,COST
2023-11-28,572.0269449091256,576.1060136638343,570.3200738210708,572.8080444335938,1286800,COST
2023-11-29,573.96536752408,573.9750201764455,566.4629023306221,566.88720703125,1319800,COST
2023-11-30,566.8582157895694,571.911260766275,562.0365990014722,571.593017578125,1755200,COST
2023-12-01,572.1138926384584,575.0743140834683,569.5198599861478,574.9779052734375,1475300,COST
2023-12-04,571.0240340727023,578.1407443419112,570.3586486781788,577.706787109375,1624000,COST
2023-12-05,577.1764793810856,587.1572024492152,575.7299943649726,583.7531127929688,2349700,COST
2023-12-06,583.8978350168752,586.7714999947377,582.3163304708495,585.7589721679688,2233900,COST
2023-12-07,588.2372014240037,590.5033375913588,584.7173979052211,589.1533203125,1690400,COST
2023-12-08,586.887225048436,591.7184949248148,586.0482683599473,588.989501953125,1502100,COST
2023-12-11,599.7801978482494,602.7310839605029,596.6847573979613,601.602783203125,2139300,COST
2023-12-12,605.0550611419714,607.2247887370758,600.9759920976162,607.0415649414062,2374400,COST
2023-12-13,611.3038320279451,619.674151512623,608.4880243699498,619.0955810546875,2436900,COST
2023-12-14,618.3048679445835,618.9992113956259,607.8130246881682,608.2759399414062,3839200,COST
2023-12-15,618.6134039156736,638.266317699578,617.6490806048151,635.3154907226562,8807700,COST
2023-12-18,640.7929045151537,657.5817491484345,637.5141813854178,656.9356689453125,5733400,COST
2023-12-19,650.9183101148658,656.5113741932155,645.248083682588,653.560546875,3437300,COST
2023-12-20,647.8226901766493,650.2913553242356,637.2247871541095,637.4176635742188,3782700,COST
2023-12-21,642.1043594347395,643.5315980775614,635.9230723916535,641.4293212890625,2388400,COST
2023-12-22,644.167864498313,649.249866335603,642.2392181974199,647.639404296875,1641700,COST
2023-12-26,648.9992723676262,651.7475703939558,646.8488501144463,650.5518188476562,1774800,COST
2023-12-27,653.589506733467,659.3886759203648,651.3211381512889,657.6331176757812,1875900,COST
2023-12-28,656.6961418762693,657.6922664398538,652.4947571823255,653.9839477539062,1496900,COST
2023-12-29,651.9128285061764,654.0727236438657,648.1255928497645,651.0054931640625,1947500,COST
2024-01-02,646.5674176982207,648.7568693097217,640.5709857648742,641.7052001953125,2657700,COST
2024-01-03,642.2574109159032,646.4391112251051,634.2588586532039,635.8270263671875,2612600,COST
2024-01-04,633.2530054981344,640.9655070700155,631.7045818900897,639.436767578125,2171100,COST
2024-01-05,647.1590400824625,650.5813669346488,643.2732035340098,646.9913940429688,2233500,COST
2024-01-08,646.7941540946766,652.9779756191565,645.0386562058984,652.5933227539062,2245300,COST
2024-01-09,649.821930322202,658.1162858076278,649.2104587023996,658.0078125,1886200,COST
2024-01-10,660.355149737315,664.5664667174532,659.8127229604706,663.5111694335938,1801900,COST
2024-01-11,661.7752764944702,665.2370316109303,658.4614832976779,664.31982421875,1670800,COST
2024-01-12,668.1859065191236,674.3203666856033,666.8150014299117,673.8469848632812,2388400,COST
2024-01-16,673.8471577190057,677.0820948575303,668.8369780953263,672.1212158203125,1626700,COST
2024-01-17,671.1448444209689,675.4547631469721,669.8528560188319,674.7841186523438,1786800,COST
2024-01-18,673.4427534625933,678.2654820234543,670.8587769506978,677.8611450195312,1900600,COST
2024-01-19,679.034808097177,686.5599190650508,673.2849394903429,685.4158325195312,2267900,COST
2024-01-22,685.8694640284035,689.0550398538003,681.0269914797634,682.9896240234375,2452900,COST
2024-01-23,681.2241824880098,682.1217058207471,675.2179394904326,678.1372680664062,2208600,COST
2024-01-24,679.5279023949614,680.4845383271518,673.7287334775599,677.0721435546875,1946500,COST
2024-01-25,677.0622197692855,677.0622197692855,666.6671419549915,670.552978515625,2751900,COST
2024-01-26,670.730568280804,677.7921091810307,670.1585250175007,677.4370727539062,1825500,COST
2024-01-29,680.4155721556727,684.5874006511077,676.8255988812479,684.4690551757812,2215400,COST
2024-01-30,683.4136288528915,692.9901597634959,681.3030346145243,691.1063842773438,1610500,COST
2024-01-31,691.6785554040417,695.8208276131613,683.5123564606854,685.3270874023438,1928500,COST
2024-02-01,685.4653067872677,696.6263292645006,682.9960513593596,695.81640625,2039200,COST
2024-02-02,694.690558608497,705.496024125904,693.623823250345,700.7550048828125,2377400,COST
2024-02-05,701.9006814728237,704.0933513440017,697.0016570287106,702.4142456054688,2276900,COST
2024-02-06,702.4833584333558,703.955024944358,695.6781366533095,702.0487670898438,1920200,COST
2024-02-07,705.3674551967891,714.4246662706694,703.243871639115,710.92822265625,2145500,COST
